name,img_url,region,dday,applicants,지원금,모집상태,collected_at
코레일 SNS크루 1기 모집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2651%2F1751628220492.jpg&w=3840&q=60,전국,,424.0,"￦700,000/지원",,2025-07-21 17:22:40
2025 무안 초의선사탄생지 다도·명상 참가자 모집 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2575%2F1750938825942.jpg&w=3840&q=60,전남 무안군,,83.0,"다도 체험, 명상·요가프로그램 체험 등 지원",,2025-07-21 17:22:41
2025 부산 국립청소년생태센터 B.I.G 가족캠프 모집,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2660%2F1751721524982.jpg&w=3840&q=60,부산,,93.0,* 본문 지원항목 참고,,2025-07-21 17:22:41
김제 금산사 2박3일 어린이 템플스테이,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2733%2F1752329223370.jpg&w=3840&q=60,전북 김제시,,15.0,체험 프로그램 지원,,2025-07-21 17:22:41
김제 금산사 1박2일 휴식형 템플스테이 '나는 쉬고싶다' (김제시민 반값),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2734%2F1752327609939.png&w=3840&q=60,전북 김제시,,39.0,"숙박 및 체험(예불) 지원, 티셔츠 선물",,2025-07-21 17:22:41
"2025 임실 중년기 아버지 요리교실 집밥의 고수, 패밀리 쉐프 (선착순)",https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2730%2F1752326713957.jpg&w=3840&q=60,전북 임실군,,2.0,요리체험 지원,,2025-07-21 17:22:41
2025 광주 1박2일 청년 소셜리빙랩 in 곡성,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2729%2F1752323808985.jpg&w=3840&q=60,전남 곡성군,,20.0,전액 지원,,2025-07-21 17:22:41
2025 정선 토요 웰니스 프로그램 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2728%2F1752319765425.jpg&w=3840&q=60,강원 정선군,,23.0,체험 지원,,2025-07-21 17:22:41
지금이 강릉 캐시백 타이밍! MONEY IS BACK! 인센티브 프로그램,https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2611%2F1750931062698.jpg&w=3840&q=60,강원 강릉시,,70.0,"￦32,000/지원",,2025-07-21 17:22:41
경주愛서 만나 참가자 모집 (선착순),https://www.monthler.kr/_next/image?url=https%3A%2F%2Fprod-monthler.s3.ap-northeast-2.amazonaws.com%2Fprograms%2F2669%2F1751857387536.jpg&w=3840&q=60,경북 경주시,,32.0,체험 지원,,2025-07-21 17:22:41
